From, To, POS, Word
PUNCT, EOS,	punct, PUNCT
PRON, AUX, upper, PROPN
ADP, DET, number, NUM
PART, VERB, -ed, VERB
BOS, DET, -ly, ADV
ADJ, NOUN, -ing, VERB
AUX, VERB, -s, NOUN
VERB, DET, -s, AUX
PUNCT, CCONJ, upper, ADJ
PRON, VERB, -s, VERB
PRON, NOUN, -ed, ADJ
NOUN, CCONJ, -ing, AUX
DET, NOUN, -s, PRON
ADP, PRON, upper, NUM
NOUN, SCONJ, -ion, NOUN
NOUN, AUX, upper, PRON
SCONJ, PRON, upper, DET
BOS, PRON, -ing, PRON
NOUN, ADP, -ies, NOUN
PUNCT, ADV, -ion, PROPN
